country,location_name,latitude,longitude,temperature_celsius,humidity,air_quality_Ozone,date,day,month,year,week,time,season,condition
Netherlands,Amsterdam,52.37,4.89,20.0,68,29.0,2024-05-16,16,5,2024,1,16:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.0,88,77.3,2024-05-17,17,5,2024,1,18:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,22.0,50,57.9,2024-05-18,18,5,2024,1,16:30:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,22.0,57,110.2,2024-05-19,19,5,2024,1,16:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,19.0,78,103.0,2024-05-20,20,5,2024,2,16:45:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,23.0,61,103.0,2024-05-21,21,5,2024,2,16:45:00,Spring,Cloudy/Overcast
Netherlands,Amsterdam,52.37,4.89,18.0,68,104.4,2024-05-22,22,5,2024,2,16:15:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,18.0,73,91.6,2024-05-23,23,5,2024,2,16:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.0,88,65.1,2024-05-24,24,5,2024,2,16:30:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,15.0,100,75.1,2024-05-25,25,5,2024,2,16:00:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,19.0,68,78.7,2024-05-26,26,5,2024,2,16:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.0,48,78.0,2024-05-27,27,5,2024,3,16:30:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,18.0,64,65.1,2024-05-28,28,5,2024,3,16:30:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,17.0,77,85.8,2024-05-29,29,5,2024,3,16:00:00,Spring,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,15.0,82,68.7,2024-05-30,30,5,2024,3,15:45:00,Spring,Cloudy/Overcast
Netherlands,Amsterdam,52.37,4.89,18.0,77,87.3,2024-05-31,31,5,2024,3,16:15:00,Spring,Rainy
Netherlands,Amsterdam,52.37,4.89,16.0,88,75.1,2024-06-01,1,6,2024,3,16:15:00,Summer,Cloudy/Overcast
Netherlands,Amsterdam,52.37,4.89,17.0,63,105.9,2024-06-02,2,6,2024,3,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.0,77,97.3,2024-06-03,3,6,2024,4,16:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,19.0,68,88.7,2024-06-04,4,6,2024,4,16:15:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,15.0,55,83.0,2024-06-05,5,6,2024,4,16:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.0,45,90.1,2024-06-06,6,6,2024,4,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,18.1,52,107.3,2024-06-07,7,6,2024,4,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.2,72,76.5,2024-06-08,8,6,2024,4,16:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.2,59,80.8,2024-06-09,9,6,2024,4,16:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,13.1,82,62.9,2024-06-10,10,6,2024,5,16:15:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,14.0,77,72.2,2024-06-11,11,6,2024,5,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,14.2,63,73.7,2024-06-12,12,6,2024,5,16:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.1,63,94.4,2024-06-13,13,6,2024,5,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.0,79,79.4,2024-06-14,14,6,2024,5,16:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,14.3,82,68.0,2024-06-15,15,6,2024,5,16:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,15.2,87,77.3,2024-06-16,16,6,2024,5,15:45:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,18.7,56,82.3,2024-06-17,17,6,2024,6,16:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,18.0,77,104.4,2024-06-18,18,6,2024,6,16:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,18.2,68,79.4,2024-06-19,19,6,2024,6,15:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,20.5,54,83.7,2024-06-20,20,6,2024,6,15:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.2,88,62.9,2024-06-21,21,6,2024,6,15:30:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,20.3,64,97.3,2024-06-22,22,6,2024,6,15:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,23.1,53,107.3,2024-06-23,23,6,2024,6,15:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,24.2,50,93.0,2024-06-24,24,6,2024,7,15:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,26.2,54,130.2,2024-06-25,25,6,2024,7,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,28.1,45,125.9,2024-06-26,26,6,2024,7,15:30:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,27.0,45,154.5,2024-06-27,27,6,2024,7,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,20.2,53,80.1,2024-06-28,28,6,2024,7,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,22.3,50,128.8,2024-06-29,29,6,2024,7,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,20.2,64,91.6,2024-06-30,30,6,2024,7,15:30:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,18.2,64,60.8,2024-07-01,1,7,2024,8,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.2,63,66.5,2024-07-02,2,7,2024,8,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,15.2,77,64.4,2024-07-03,3,7,2024,8,15:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.4,59,70.1,2024-07-04,4,7,2024,8,15:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,16.2,94,62.9,2024-07-05,5,7,2024,8,14:45:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,15.0,82,74.4,2024-07-06,6,7,2024,8,15:15:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,18.1,73,63.7,2024-07-07,7,7,2024,8,15:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,20.4,64,84.4,2024-07-08,8,7,2024,9,15:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,25.0,57,147.3,2024-07-09,9,7,2024,9,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,21.2,60,87.3,2024-07-10,10,7,2024,9,15:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,20.3,56,90.1,2024-07-11,11,7,2024,9,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,14.4,88,57.2,2024-07-12,12,7,2024,9,15:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,16.3,83,72.2,2024-07-13,13,7,2024,9,15:00:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,20.1,64,95.8,2024-07-14,14,7,2024,9,15:15:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,23.3,50,117.3,2024-07-15,15,7,2024,10,15:00:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,17.2,88,71.5,2024-07-16,16,7,2024,10,14:45:00,Summer,Rainy
Netherlands,Amsterdam,52.37,4.89,21.3,69,93.0,2024-07-17,17,7,2024,10,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,25.2,54,90.8,2024-07-18,18,7,2024,10,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,26.2,61,180.2,2024-07-19,19,7,2024,10,14:30:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,29.3,48,93.0,2024-07-20,20,7,2024,10,14:45:00,Summer,Clear/Sunny
Netherlands,Amsterdam,52.37,4.89,21.0,47,80.8,2024-07-24,24,7,2024,11,14:45:00,Summer,Clear/Sunny
