Participant ID,Task ID,System ID,User Answer,Completion Time (seconds),User Difficulty Rating (1 easy - 5 difficult),Artefact,Comments,Score
1,1,A,#18,7,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-1-A.png,,1
1,1,B,#18,39,3,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-1-B.png,"colour not distinguishable, opacity should be lower",1
1,1,C,#25,12,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-1-C.png,colour encoding was confusing - city & condition,0
1,2,A,"Bucharest,Rome,Bogot",125,3,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-2-A.png,"difficulty in zooming, finding week 28",3
1,2,B,"Bogot,Bucharest,Athens",94,4,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-2-B.png,difficulty in selecting the timeline,3
1,2,C,"Bogot,Nicosia,Athens",55,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-2-C.png,heatmap colour difficult to distinguish,3
1,3,A,"2024-08-12,15.6",28,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-3-A.png,,2
1,3,B,"2024-08-12,19.5",174,5,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-3-B.png,opacity too much for same day,1
1,3,C,"2024-08-12,20.2",88,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-3-C.png,,1
1,4,A,"Luxembourg,London,Brussels",46,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-4-A.png,,3
1,4,B,"Luxembourg,London,Brussels",55,3,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-4-B.png,,3
1,4,C,"Luxembourg,London,Brussels",36,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/1-4-C.png,should allow multi-city selection,3
